Symbol,Description,Min,Typ,Max,Unit,Notes
,"Effective number of bits: Single-ended mode (14 x 14 mm package, PWM)",--,10.5,--,,
,"Effective number of bits: Single-ended mode (14 x 14 mm package, PFM)",--,10.1,--,,
