Signal name,PAD name,ALT
SPI3_PCS1,GPIO_IO07,ALT1
SPI3_SIN,GPIO_IO09,ALT1
SPI3_SOUT,GPIO_IO10,ALT1
SPI3_SCK,GPIO_IO11,ALT1
SPI3_PCS0,GPIO_IO08,ALT1
