Ball name,14 x 14 ball,Power group,Ball Types,Default setting,Default setting,Default setting
XTALO_24M,E1,VDD_ANA_8,ANALOG,—,—,—
XTALO_24M,E18,VDD_ANA_1P8,ANALOG,—,—,—
