Signal name,PAD name,ALT
USDHCI_CMD,SD2_CMD,ALT0
USDHCI_CLK,SD2_CLK,ALT0
USDHCI_DATA00,SD2_DATA0,ALT0
USDHCI_DATA11,SD2_DATA1,ALT0
USDHCI_DATA22,SD2_DATA2,ALT0
USDHCI_DATA33,SD2_DATA3,ALT0
USDHCI_DATA33,SD2_DATA3,ALT0
USDHCI_RESET,SD2_RESET_B,ALT0
USDHCI_VSELECT,SD2_VSELECT,ALT0
