,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
H,DRA M_C KE0_ A Q06_ A,DRA M_C A0_A Q07_ A,,,,,VSS,,VSS,,VSS,,VSS,,VSS,,,,SAI1_RX D0,SAI1_TXD 0,H
J,DRA M_D Q04_ A,DRA M_D Q05_ A,VSS,DRA M_C KE1_ A,VSS,VDD Q_D DR,VDD Q_D DR,VSS,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD AN_8,VDD AN_BIT_8,PDM_G_A,WDO_NY,VSS,GPIO_I00_1,GPIO_I00_0,J
K,DRA M_D Q02_ A,DRA M_D Q03_ A,,,VSS,VDD Q_D DR,VDD Q_D DR,VSS,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD AN_AVD_0,NVC_C_ON,GPIO_I00_2,GPIO_I00_3,K
L,VSS,DRA M_D Q00_ A,VSS,DRA M_D Q01_ A,VSS,VDD 2_DD R,VDD 2_DD R,VSS,,,,,,,,,GPIO_I00_4,GPIO_I00_5,GPIO_I00_6,GPIO_I00_7,L
M,DRA M_D Q02_ A,DRA M_D Q03_ A,,,,,,,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD AN_STR_P8,,,,,GPIO_I00_8,GPIO_I00_9,M
N,DRA M_D Q00_ A,DRA M_D Q01_ A,VSS,DRA M_D Q02_ A,VSS,VDD 2_DD R,VDD 2_DD R,VSS,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,VDD SO_C,NVC_C_G,NVC_C_G,GPIO_I01_0,GPIO_I01_1,GPIO_I01_2,GPIO_I01_3,N
