Rev. Number,Date,Substantive Change(s)
IMX93AEC v6.1,07 July 2025,"['Removed the I/O pin information from Ordering information', 'Updated the Package type in Figure 1', 'Removed Section 9 x 9 mm package information']"
IMX93AEC v6.0,04 June 2025,"['Updated Ordering information', 'Updated Figure 1', 'Updated the descriptions about DRAM and LPUART, and ADC in Table 1; Removed FlexIO from Table 1', 'Added LPDDR4 in Figure 2; updated ADC and LPUART in Figure 2']"
