,IDLE,SUSPEND,BBSM
CCM LPM mode,WAIT,STOP,N/A
Arm Cortex®-A55 CPU0,OFF,OFF,OFF
Arm Cortex-A55 CPU0,OFF,OFF,OFF
Arm Cortex-A55 CPU1,OFF,OFF,OFF
Shared L3 cache,ON,OFF,OFF
Display,OFF,OFF,OFF
DRAM controller and PHY,ON,OFF,OFF
ARM_PLL,OFF,OFF,OFF
DRAM_PLL,OFF,OFF,OFF
DRAM_PLL_PLL 1/2/3,OFF,OFF,OFF
SYSTEM_PLL 1/2/3,ON,OFF,OFF
XTAL,ON,OFF,OFF
